film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update,query_response_time_ms
63,BEDAZZLED MARRIED,A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House,2006,1,,6,0.99,73,21.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:01,93.5996989827671
64,BEETHOVEN EXORCIST,A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico,2006,1,,6,0.99,151,26.99,PG-13,"Commentaries,Behind the Scenes",2021-03-06 15:52:01,171.38136086583995
65,BEHAVIOR RUNAWAY,A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin,2006,1,,3,4.99,100,20.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:01,93.50549375824248
66,BENEATH RUSH,A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station,2006,1,,6,0.99,53,27.99,NC-17,"Commentaries,Deleted Scenes",2021-03-06 15:52:01,138.83042841186233
67,BERETS AGENT,A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China,2006,1,,5,2.99,77,24.99,PG-13,Deleted Scenes,2021-03-06 15:52:01,163.1193956111688
68,BETRAYED REAR,A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank,2006,1,,5,4.99,122,26.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:01,155.5552661048974
69,BEVERLY OUTLAW,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,2006,1,,3,2.99,85,21.99,R,Trailers,2021-03-06 15:52:01,162.76334592552516
70,BIKINI BORROWERS,A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station,2006,1,,7,4.99,142,26.99,NC-17,"Commentaries,Deleted Scenes",2021-03-06 15:52:01,156.66869567402563
71,BILKO ANONYMOUS,A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station,2006,1,,3,4.99,100,25.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:01,188.3659743994018
72,BILL OTHERS,A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention,2006,1,,6,2.99,93,12.99,PG,"Trailers,Commentaries",2021-03-06 15:52:01,121.4305085778361
73,BINGO TALENTED,A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria,2006,1,,5,2.99,150,22.99,PG-13,"Trailers,Commentaries",2021-03-06 15:52:01,129.69014584624406
74,BIRCH ANTITRUST,A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon,2006,1,,4,4.99,162,18.99,PG,"Trailers,Commentaries,Deleted Scenes",2021-03-06 15:52:01,126.82021664187528
75,BIRD INDEPENDENCE,A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies,2006,1,,6,4.99,163,14.99,G,"Commentaries,Behind the Scenes",2021-03-06 15:52:01,174.90575435587832
76,BIRDCAGE CASPER,A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India,2006,1,,4,0.99,103,23.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:01,177.0119576518519
77,BIRDS PERDITION,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,2006,1,,5,4.99,61,15.99,G,"Trailers,Behind the Scenes",2021-03-06 15:52:01,163.53675957955525
78,BLACKOUT PRIVATE,A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan,2006,1,,7,2.99,85,12.99,PG,"Trailers,Deleted Scenes",2021-03-06 15:52:01,185.50481000669782
79,BLADE POLISH,A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station,2006,1,,5,0.99,114,10.99,PG-13,"Trailers,Behind the Scenes",2021-03-06 15:52:01,114.65877397870858
80,BLANKET BEVERLY,A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria,2006,1,,7,2.99,148,21.99,G,Trailers,2021-03-06 15:52:01,200.0167233465341
81,BLINDNESS GUN,A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat,2006,1,,6,4.99,103,29.99,PG-13,"Trailers,Behind the Scenes",2021-03-06 15:52:01,195.69715865136774
82,BLOOD ARGONAUTS,A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse,2006,1,,3,0.99,71,13.99,G,"Trailers,Commentaries,Behind the Scenes",2021-03-06 15:52:01,172.0686599173724
83,BLUES INSTINCT,A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House,2006,1,,5,2.99,50,18.99,G,"Trailers,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:01,203.4539672631318
84,BOILED DARES,A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan,2006,1,,7,4.99,102,13.99,PG,"Trailers,Commentaries",2021-03-06 15:52:01,100.30130376966679
85,BONNIE HOLOCAUST,A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan,2006,1,,4,0.99,63,29.99,G,Deleted Scenes,2021-03-06 15:52:01,134.26655591212045
86,BOOGIE AMELIE,A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico,2006,1,,6,4.99,121,11.99,R,"Commentaries,Behind the Scenes",2021-03-06 15:52:01,127.94089617954143
87,BOONDOCK BALLROOM,A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico,2006,1,,7,0.99,76,14.99,NC-17,Behind the Scenes,2021-03-06 15:52:01,171.6443797127203
88,BORN SPINAL,A Touching Epistle of a Frisbee And a Husband who must Pursue a Student in Nigeria,2006,1,,7,4.99,179,17.99,PG,"Trailers,Commentaries,Deleted Scenes",2021-03-06 15:52:01,118.49577781193562
89,BORROWERS BEDAZZLED,A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House,2006,1,,7,0.99,63,22.99,G,"Commentaries,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:01,172.72485448012458
90,BOULEVARD MOB,A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China,2006,1,,3,0.99,63,11.99,R,Trailers,2021-03-06 15:52:01,191.1160843199014
91,BOUND CHEAPER,A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon,2006,1,,5,0.99,98,17.99,PG,Behind the Scenes,2021-03-06 15:52:01,170.85608700251998
92,BOWFINGER GABLES,A Fast-Paced Yarn of a Waitress And a Composer who must Outgun a Dentist in California,2006,1,,7,4.99,72,19.99,NC-17,"Trailers,Deleted Scenes",2021-03-06 15:52:01,158.51253070984504
93,BRANNIGAN SUNRISE,A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin,2006,1,,4,4.99,121,27.99,PG,Trailers,2021-03-06 15:52:01,120.36379977297753
94,BRAVEHEART HUMAN,A Insightful Story of a Dog And a Pastry Chef who must Battle a Girl in Berlin,2006,1,,7,2.99,176,14.99,PG-13,"Trailers,Deleted Scenes",2021-03-06 15:52:01,124.59447101623907
95,BREAKFAST GOLDFINGER,A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin,2006,1,,5,4.99,123,18.99,G,"Trailers,Commentaries,Deleted Scenes",2021-03-06 15:52:01,187.4885671589
96,BREAKING HOME,A Beautiful Display of a Secret Agent And a Monkey who must Battle a Sumo Wrestler in An Abandoned Mine Shaft,2006,1,,4,2.99,169,21.99,PG-13,"Trailers,Commentaries",2021-03-06 15:52:01,173.38047011715997
97,BRIDE INTRIGUE,A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans,2006,1,,7,0.99,56,24.99,G,"Trailers,Commentaries,Behind the Scenes",2021-03-06 15:52:01,148.82941441867368
98,BRIGHT ENCOUNTERS,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,2006,1,,4,4.99,73,12.99,PG-13,Trailers,2021-03-06 15:52:01,137.46271362702328
99,BRINGING HYSTERICAL,A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat,2006,1,,7,2.99,136,14.99,PG,Trailers,2021-03-06 15:52:01,89.22576380665869
100,BROOKLYN DESERT,A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station,2006,1,,7,4.99,161,21.99,R,Commentaries,2021-03-06 15:52:01,117.87442743946684
101,BROTHERHOOD BLANKET,A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan,2006,1,,3,0.99,73,26.99,R,Behind the Scenes,2021-03-06 15:52:01,207.3425726141917
102,BUBBLE GROSSE,A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon,2006,1,,4,4.99,60,20.99,R,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:01,111.586332869926
103,BUCKET BROTHERHOOD,A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory,2006,1,,7,4.99,133,27.99,PG,"Commentaries,Deleted Scenes",2021-03-06 15:52:01,155.68439463663242
104,BUGSY SONG,A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station,2006,1,,4,2.99,119,17.99,G,Commentaries,2021-03-06 15:52:01,180.22331919585596
105,BULL SHAWSHANK,A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies,2006,1,,6,0.99,125,21.99,NC-17,Deleted Scenes,2021-03-06 15:52:01,112.35231995993122
106,BULWORTH COMMANDMENTS,A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,2006,1,,4,2.99,61,14.99,G,Trailers,2021-03-06 15:52:01,155.5413142434325
107,BUNCH MINDS,A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention,2006,1,,4,2.99,63,13.99,G,Behind the Scenes,2021-03-06 15:52:01,178.13746612531966
108,BUTCH PANTHER,A Lacklusture Yarn of a Feminist And a Database Administrator who must Face a Hunter in New Orleans,2006,1,,6,0.99,67,19.99,PG-13,"Trailers,Commentaries,Deleted Scenes",2021-03-06 15:52:01,150.37497965721752
109,BUTTERFLY CHOCOLAT,A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank,2006,1,,3,0.99,89,17.99,G,Behind the Scenes,2021-03-06 15:52:01,236.05209167000305
110,CABIN FLASH,A Stunning Epistle of a Boat And a Man who must Challenge a A Shark in A Baloon Factory,2006,1,,4,0.99,53,25.99,NC-17,"Commentaries,Deleted Scenes",2021-03-06 15:52:01,99.94202223365414
111,CADDYSHACK JEDI,A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia,2006,1,,3,0.99,52,17.99,NC-17,"Commentaries,Deleted Scenes",2021-03-06 15:52:01,181.76185589651638
112,CALENDAR GUNFIGHT,A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria,2006,1,,4,4.99,120,22.99,NC-17,"Trailers,Commentaries,Behind the Scenes",2021-03-06 15:52:01,144.81594787810607
113,CALIFORNIA BIRDS,A Thrilling Yarn of a Database Administrator And a Robot who must Battle a Database Administrator in Ancient India,2006,1,,4,4.99,75,19.99,NC-17,"Trailers,Commentaries,Deleted Scenes",2021-03-06 15:52:01,173.15760464510026
114,CAMELOT VACATION,A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention,2006,1,,3,0.99,61,26.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2021-03-06 15:52:01,163.23921455097738
115,CAMPUS REMEMBER,A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat,2006,1,,5,2.99,167,27.99,R,Behind the Scenes,2021-03-06 15:52:01,128.0053140867001
116,CANDIDATE PERDITION,A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station,2006,1,,4,2.99,70,10.99,R,"Deleted Scenes,Behind the Scenes",2021-03-06 15:52:01,156.8698917737802
117,CANDLES GRAPES,A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House,2006,1,,6,4.99,135,15.99,NC-17,"Trailers,Deleted Scenes",2021-03-06 15:52:01,94.26295645805138
118,CANYON STOCK,A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse,2006,1,,7,0.99,85,26.99,R,"Trailers,Deleted Scenes",2021-03-06 15:52:01,168.0974250171418
119,CAPER MOTIONS,A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention,2006,1,,6,0.99,176,22.99,G,"Trailers,Commentaries,Deleted Scenes",2021-03-06 15:52:01,158.94475397971576
120,CARIBBEAN LIBERTY,A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank,2006,1,,3,4.99,92,16.99,NC-17,"Commentaries,Deleted Scenes",2021-03-06 15:52:01,169.15980505929306
121,CAROL TEXAS,A Astounding Character Study of a Composer And a Student who must Overcome a Composer in A Monastery,2006,1,,4,2.99,151,15.99,PG,"Trailers,Behind the Scenes",2021-03-06 15:52:01,181.7435497526145
