customer_id,rating,review
Prateek,5.0,"The iPhone 14 Pro is a game changer this is my 2nd iPhone purchase from amazon. The camera quality is incredible and the speed at which it operates is unmatched. The ProMotion technology makes scrolling and swiping feel smoother than ever. The battery life is also impressive and lasts me all day. Overall, I highly recommend this phone to anyone looking for a top-of-the-line device"
Delhiguy,5.0,"Prompt delivery: ordered in morning, delivered in the eveningSecured delivery: delivery guy made video of opening of package. We opened package and saw everything things and sealed. Then we let delivery boy to go. Thanks Amazon!"
shiva,5.0,Excellent
Aditya Shukla,4.0,Best phone with great camera quality and best performance..Value For Money Product
Placeholder,5.0,"This phone is amazing , very good battery life , sound quality is amazing , vocals are really good , display is really good and bright in day light"
Placeholder,4.0,"All good but the picture quality gets worse after capturing the image.There aren’t any setting or option through which we could turn it off,it would be better if they give an update in which we could turn off that auto enhancement."
Anshul Thakur,5.0,"I have purchased it on 9 Nov 22 and got it on 14th nov. Its an excellent device, the battery when i received was at 80% and after setting up and using for more than 5 hours (downloading + installing almost 6GB) the battery was 20%. You'll receive the 115.96GB out of 128Gb."
Santosh Moharana,5.0,Apple was always Apple👌👌👍.  But for secure packaging I gave 1 Star… It looks like ordinary 📦..I received package with 1’’ hole in it by IPhone was Genuine. Thanks 🥲
Prajoth,5.0,"Highlights1. Floating Island is too good. Adds a whole new experience.2. A16 bionic chip - can feel the difference during gaming and clicking low light images3. Video recording features 1.5x compared to 13 model.ConsYou will have to find con, I am still trying to havent found any yet"
ABHISHEK SINGH,5.0,Once you hold an iPhone it feels and looks premium and so does the iPhone 14 pro. the camera and battery are simply great. The overall experience is amazing and it’s worth the price.
Anurag Sharma,5.0,Bought it on 18th and delivered on 22nd whereas Apple India online store is still showing delivery after 3-4 weeks. Phone was delivered in good packing and well within time without any isse whatsoever.Purple color looks good. No issue found as on date with product and happy with Amazon also.
vijay,5.0,"The media could not be loaded.
                



My last phone was an android phone. This is my first iPhone experience and I’m totally Satisfied with the phone. Phone’s camera, built quality, battery backup and performance are top notch.Only you don’t get lot of ui tweaks and customisation like android."
Amazon Reader,5.0,"Well, definitely improved from its predecessor. Smooth and flawless display and is a bit heavy which explains the increased battery capacity. Thanks to Amazon for secure packaging and quick delivery."
Amrit Ravi,5.0,Just brilliant!
Arun,5.0,"I always had a complaint about sound output of iPhones, this one they have rectified it amazing sound output and amazing camera quality, though night mode isn’t that great."
Alagappan Muthiah,5.0,Bought iphone 14 pro on 01-Mar-2023. Awesome! Features of the phone and that too with 48 mega pixels camera taking us to a peak and excellent clarity. Overall a good phone from Apple.
akshaya raghuwanshi,4.0,i love it size is little small but it's good.. colour is also good
Bhaskar G Y,5.0,"After using for more than 2 months,I would say it’s worth purchasing.Captured some beautiful pictures and Battery life is excellent.Fell in love with the display and experience of using apple iPhone."
Goutham,5.0,"There is nothing to blame on performance point of view its just awesome and camera is great ,only con is that we have to sacrifice one of our kidney for it …sarcastically speaking 😂…but worth it"
Krishna Murty Ryali,2.0,"Guys this is my worst decision to move ti ios. all that excitement turned into disappointment and nightmares  i bought with 1.4 lakhs. the move was worst in my life. the set up that is to move data from android to apple phone was never easy, it al turned my iphone 14 pro dead. and it would not respond no matter what i would do. i was without a contact number for more than a week as the phone wouldn't turn on. Android is much easier to use and handle.  I think you should attend apple ios course to manage this iphone. for anything i want to do there is no easyway to do simple things on iphone.  worst experienceIT charges only with magsafe wireless charger and not with any other charget baught even from apple company. If the battery is less than 25% iphone doesn't work and acts like a dead phone."
Azam Aqeel,5.0,Iphone is just amazing.....and I just love the battery life and camera is amazing!! 1st time iphone user and just love it!! And the dynamic island is just the icing on the cake!!
M,5.0,Nothing compares to an iPhone.
Rahul Mishra,5.0,
Vipin,5.0,See the portrait mode picture taken on iPhone 14 pro. The camera performance is mind blowing. Go for it and you will really enjoy this flagship phone from Apple.
Amazon Customer,5.0,Writing this review after 3 months the phone is awesome and the battery backup is also perfect.
Sai Arveti,5.0,"Undoubtedly the best phone to have; 5/5 for the look, feel, quality and features."
pranali Belekar,5.0,It's awasome to use iphone camera quality too good.
Amazon Customer,5.0,Genuine product received but the Packaging must be improved.Overall Apple ecosystem for changing old iphone data to new iphone is excellent.
krishnakumar.k,5.0,Feel good with this phone
Vivekanand Sharma,5.0,Battery life ok
anand singh,5.0,Wonderful phone with the most powerful chip ever
Placeholder,5.0,"Product is just Awesome, Got offer on Amazon and great delivery !!"
Aman,4.0,It’s worth the purchase.
LM Arya,5.0,"The media could not be loaded.
                



Nice products and good delivery but packing of this products was poor."
Dr.J Ray,4.0,No such improvement yr after yr
Avijeet,5.0,A16 with 4K recording just makes it picture perfect
Placeholder,5.0,Genuine product
Mohan,5.0,This is the best iPhone ever
Rupali,5.0,thanks like the product.
Placeholder,4.0,Good phone
Nitin Sharma,5.0,Thumbs up experience from Amazon
Ragini,5.0,Very nice
Dr . Shubhangee tiwari,5.0,Thanks for safe delivery
Fazeer Ali,5.0,Incredible phone. I am first time using iphone and I am feeling so much better
Rahul Nair,5.0,Dream Come true..From Amazon Appario  Retail ❤️❤️
Sugandha,5.0,"Battery life, design & great looks"
Shreekanta,5.0,Satisfied 😂
Arun singh,5.0,Just one word Koi nahi hai takaar mee 14pro 🍎
Kiran sahu,5.0,Satisfied 😂😄
Pankaj singh,5.0,Owsm very good quality
ismail sk,5.0,One temi direm
SHAKUNTLA KUMARI,5.0,Very nice product by apple
Sukharanjan Jana,5.0,I think battery should be better
Alok Kumar Pradhan,1.0,"I am coming from Samsung s21 plus to iPhone 14 pro.The day after I received the phone I was testing all features,then the front camera.I thought it was some green filter of some kind. I tried everything then I reset the phone. But I was so disappointed. I was not expecting this from apple. Then I tried to call amazon customer care. They give me some crap about the deal between Amazon and Apple. That they can't exchange the phone. Then I went to service centre they said It's a hardware defect, I have not  used this phone even 7 days.😡😡😡😡"
Sammy,5.0,
Amazon Customer,5.0,Good
Deepak Singh,5.0,"Great phone, I upgraded my iPhone 11pro to 14 pro.😊"
ravi sakhiya,5.0,Worth upgrade from 13pro
Prashant Das,5.0,Perfect
PAPPU YADAV,3.0,I like this phone really ♥️♥️
Amit Jyoti  Paul,5.0,Thanks
Govind K.,5.0,Good camera Good battery good display good speed No heating  Good for your personal photography and video call buy one . Fabulous good
AR,1.0,I had ordered Iphone 14 pro space black(128 gb) on 3rd Apr 23 and same was delivered on 4th Apr 23. But when I opened the phone and checked warranty period. It showed me limited warranty till 8 Feb 2024. Which means product which I got was 1st time logging on 8 Feb 2023. Thus product delivered to me was an used product.
Akash,5.0,The media could not be loaded.
Rithik Bhargava,1.0,Display issue compare it with brand store display of same model iphone 14 pro.Service center says its apple quality issue and we can't help in it. Petheic company.. Never buy apple products.
Totally broken Chinese iPhone received. I want my money back 😡,1.0,I want my money back or  replacement
Mahesh kumar,1.0,No return option when heating mobile and no option for solution just said call to customer care
Dharmender Singh,1.0,Product is ok.but Amazon had not given me my cashback benifit that why 1 star.
mohak,4.0,"The media could not be loaded.
                



The phone is worth the penny. I mainly bought it for camera quality which its satisfies, I have attached many pictures for your reference. If still want more, one can checkout my instagram: mohakkkk_ . Pro tip: Go with high storage variants"
Raj Kamal,1.0,Wastage of money. Phone heat up during normal usage.
Camera heating issue. Don't buy,1.0,While taking pics. HeatingAmazon worst return policy
Ravi Mittal,4.0,"I like the design, sturdiness and the smoothness of my 14 pro max. Battery life is good as well but it only last for a day even after less usage.This is the first time I am using an Apple product so wasn’t sure between pro and pro max. I’ll recommend you guys to purchase pro since it’s lighter and handy. Pro max is too bulky to carry.Selfie camera of this phone is not too good as compared to competitors who are providing better camera in less price. Only back camera provides a good night pictures not its selfie camera.I love the dynamic island display and the overall smoothness of the phone. One thing I don’t like is overheating of my phone. It gets hot very easily and this makes me worry sometimes.Overall it’s a very nice phone."
Jay Patil,4.0,How are the sim slots in this variant :1) 2 Esims2) 2 Physical Sims3) 1 Esim & 1 Physical sim
Naresh,4.0,its a good phone with best performance. the cemara also good. value for money. you can play pubg for long hoursyou can do programmingyou can send a mail
Maahi,4.0,So I have recently shifted from 13 pro to 14 pro and I wanna share my review that don’t waste too much money on 14 because you can find same features except dynamic island on 13 everything is almost same and let’s just wait for 15 so that we can find out whether it is useful to shift on 15 or not !
SUDEEP KUMAR,3.0,Camera quality is not upto the mark .picture quality is low.the image is not so according price .it is pathetic after
Tanmay Basak,4.0,The unpredictable changes & unique look... & Awsome performance gives the feel of a Unique & Premium Product. Best Awsome
Anny,3.0,"I have used Iphones and also other android phones.. I must say Nokia G60 is way way far better than this in terms of performance and camera, and also way more pocket friendly, if you are a mirror selfie person, go for iphone, if you want the real stuff, its Nokia.Well, its not a popular opinion, but an honest and tried and tested review.. Nokia is Nokia, Baap Baap hi hota h :)"
Krrish,4.0,"iPhone 14Pro is Blazing fast and does every task at ease ,but miserably fails in power management ,battery don’t even last a day with light usage .120hz refresh rate feels sluggish compared to android phones.Camera is good with low light still needs improvement .Dynamic island remains to be a pretty interactive way along with Always On display.Better go with 14 Pro max or go with 13Pro for better battery backup ."
Ayush Anbhore,4.0,"As an Indian consumer, I understand that the price of the iPhone 14 Pro 256 is quite high, and it may require significant financial investment. However, the device is a testament to the hard work and dedication that you have put in to achieve your goals. With its advanced features and capabilities, the iPhone 14 Pro 256 is a powerful tool that can help you stay connected, stay productive, and achieve even greater success in your personal and professional life.Overall, the iPhone 14 Pro Max is an excellent choice for anyone who is looking for a high-end smartphone with advanced features and capabilities. While the price may be steep, the device is worth the investment for those who value performance, quality, and innovation."
Mohan kumar,3.0,Phone is good but I lost one of my kidney. Waiting for 15 pro to sell my other kidney. !
FAROOQ KHAN,5.0,Camera quality wow..!!! You must buy if your budget allows. I bought these from else. Sab kuch sahi hi hain
Anas Khan,4.0,"I upgraded from OnePlus 7 Pro and I am already familiar with iOS as I had iPhone 6 before that. I bought 14 Pro solely for its camera. I am someone who does a lot of mobile photography. The rest of the features are good but I am going to talk about camera and battery life. Battery life is decent for a compact phone, it lasts almost a day depending on your usage. Moving to the cameras, I feel it lacks a bit there. Don’t get me wrong, it’s good enough if you’re someone who does casual photography but if you belong to the category of nitpickers, the images produced are contrasty which you might consider a good thing but the shadows are way too crush and the phone also lacks at night photography compared to the competition.Other than that, the overall smartphone is great but if you’re someone who prefers better battery life and bigger display, consider iPhone 14 Pro Max or simply wait for the 15 series."
